Code,Name,Buying group,Contact,Email,Phone,Address,chatgpt_line1,chatgpt_suburb,chatgpt_state,chatgpt_postcode,chatgpt_latitude,chatgpt_longitude,chatgpt_notes
BSHED,Black Sheep,Independent,Black Sheep,,,,"66 Brougham St",Geelong,VIC,3220,-38.1457,144.3607,"Address sourced from Black Sheep/GEHCO listing; coordinates approximate."
CASHR,Cash Sales - Retail,Cash Sales - Retail,,,,,,,,,,,"Skipped internal/cash customer."
NARHD,Cellarbrations Nardi Highton,,Simo Nardi,simo_nardi@hotmail.com,,,"15-19 Belle Vue Avenue",Highton,VIC,3216,-38.1710,144.3190,"Address sourced from Nardi/Cellarbrations listing; coordinates approximate."
CCCTD,Corks Crew Cellars Torquay,Corks Crew Cellars Torquay,,,,,"5 Bristol Road",Torquay,VIC,3228,-38.3319,144.3181,"Address sourced from Corks Crew Cellars website; coordinates approximate."
GPACD,Geelong Performing Arts Centre,Geelong Performing Arts Centre,,,,,"50 Little Malop Street",Geelong,VIC,3220,-38.1474322,144.3566496,"Address sourced from Geelong Arts Centre listing; coordinates from public map listing."
GROVD,Grovedale Hotel,Grovedale Hotel,,,,,"236-258 Torquay Road",Grovedale,VIC,3216,-38.1985,144.3420,"Address sourced from Grovedale Hotel website; coordinates approximate."
MURPD,Murphy's,Murphy's,,,,,"30 Aberdeen Street",Geelong West,VIC,3218,-38.1387,144.3470,"Address sourced from Murphys Geelong website; coordinates approximate."
NCFNC,Newtown & Chilwell Football Netball Club,Newtown & Chilwell Football Netball Club,,,,,"Elderslie Reserve, corner Raith Terrace and Read Street",Newtown,VIC,3220,-38.1546,144.3365,"Address sourced from club contact listing; coordinates approximate for Elderslie Reserve."
PBARD,Piano Bar Geelong,Piano Bar Geelong,,,,,"90-92 Little Malop Street",Geelong,VIC,3220,-38.1480,144.3599,"Address sourced from Piano Bar listing; coordinates approximate. Note venue status should be checked before active sales use."
PRESD,Prestige Liquor Subiaco,,James,,,,Shop 3 531 Hay Street,Subiaco,WA,6008,-31.9475,115.8215,"Address sourced from Prestige Liquor website; coordinates approximate for Subiaco Village."
TEST-CUST-001,Test Customer (Delivery Docket),,,,,,,,,,,,,"Skipped test customer."
TBOHD,The Bottle-O Highton,,Wayne,,,,90 Barrabool Road,Highton,VIC,3216,-38.17093,144.31988,"Address and coordinates sourced from Bottle-O/Highton Cellars listing."
VND,Via Nova Distillery,Via Nova Distillery,,,,,,,,,,,"Skipped internal customer."
ANGID,Anglesea IGA plus Liquor,IGA Liquor,Jordan Bews,liquor@angleseaiga.com.au,03 52631573,"Shops 5-8 87-89 Great Ocean Rd, Anglesea VIC 3230",,,,,-38.4070,144.1853,"Coordinates approximate for supplied address."
BANND,Cellarbrations Bannockburn,Cellarbrations,Michael Smith,bannockburn@cellarbrations.com.au,52812122,"1/19 High St, Bannockburn VIC 3331",,,,,-38.0456,144.1731,"Coordinates approximate for supplied address."
SWANND,Cellarbrations Swan Hill Central Liquor Barn,,John Charleson,john@centralliquor.com.au,0407 875 683,"297 Campbell St, Swan Hill VIC 3585",,,,,-35.3420,143.5610,"Coordinates approximate for supplied address."
CHASD,Cellarbrations at Chas Cole,,Joel,chascole@apco.com.au,,"395-399 Moorabool St, South Geelong VIC 3220",,,,,-38.1580,144.3549,"Coordinates approximate for supplied address."
FOXXD,Cellarbrations at Foxxy's Daylesford,,Matt France,mattfrance@foxxysliquor.com,0448599277,"55 Vincent St, Daylesford VIC 3460",,,,,-37.3424,144.1427,"Coordinates approximate for supplied address."
JACKD,Cellarbrations at Jacks,,Jack,,,"901 Sturt St, Ballarat Central VIC 3350",,,,,-37.5617,143.8449,"Coordinates approximate for supplied address."
GWLLD,Geelong West Liquor Legends,,Robin Luo,robin@maytimes.com.au,0436-395-773,"132 Aberdeen St, Geelong West VIC 3218",,,,,-38.1407,144.3402,"Coordinates approximate for supplied address."
