type,field,qbasic_type,source_file
RcdFmtacmgn,mcode,STRING * 1,ACMGN.inc
RcdFmtacmgn,margin,STRING * 4,ACMGN.inc
RcdFmtacmgn,mcode,STRING * 1,ACMGN01.inc
RcdFmtacmgn,margin,STRING * 4,ACMGN01.inc
RcdFmtacstk,no,INTEGER,ACSTK.INC
RcdFmtacstk,search,STRING * 10,ACSTK.INC
RcdFmtacstk,ean13,CURRENCY,ACSTK.INC
RcdFmtacstk,desc1,STRING * 25,ACSTK.INC
RcdFmtacstk,desc2,STRING * 10,ACSTK.INC
RcdFmtacstk,suplr,STRING * 5,ACSTK.INC
RcdFmtacstk,size,STRING * 3,ACSTK.INC
RcdFmtacstk,unit,STRING * 2,ACSTK.INC
RcdFmtacstk,pack,INTEGER,ACSTK.INC
RcdFmtacstk,dgflag,STRING * 1,ACSTK.INC
RcdFmtacstk,form,STRING * 4,ACSTK.INC
RcdFmtacstk,pkge,INTEGER,ACSTK.INC
RcdFmtacstk,label,INTEGER,ACSTK.INC
RcdFmtacstk,manu,INTEGER,ACSTK.INC
RcdFmtacstk,active,STRING * 1,ACSTK.INC
RcdFmtacstk,taxinc,STRING * 1,ACSTK.INC
RcdFmtacstk,salestaxcde,STRING * 1,ACSTK.INC
RcdFmtacstk,purcost,SINGLE,ACSTK.INC
RcdFmtacstk,purtax,SINGLE,ACSTK.INC
RcdFmtacstk,wholesalecost,SINGLE,ACSTK.INC
RcdFmtacstk,disccdeone,STRING * 1,ACSTK.INC
RcdFmtacstk,disccdetwo,STRING * 1,ACSTK.INC
RcdFmtacstk,wholesalecde,STRING * 1,ACSTK.INC
RcdFmtacstk,retailcde,STRING * 1,ACSTK.INC
RcdFmtacstk,countercde,STRING * 1,ACSTK.INC
RcdFmtacstk,tradecde,STRING * 1,ACSTK.INC
RcdFmtacstk,contractcde,STRING * 1,ACSTK.INC
RcdFmtacstk,industrialcde,STRING * 1,ACSTK.INC
RcdFmtacstk,distributorcde,STRING * 1,ACSTK.INC
RcdFmtacstk,retail,SINGLE,ACSTK.INC
RcdFmtacstk,counter,SINGLE,ACSTK.INC
RcdFmtacstk,trade,SINGLE,ACSTK.INC
RcdFmtacstk,contract,SINGLE,ACSTK.INC
RcdFmtacstk,industrial,SINGLE,ACSTK.INC
RcdFmtacstk,distributor,SINGLE,ACSTK.INC
RcdFmtacstk,suplr4stdcost,STRING * 5,ACSTK.INC
RcdFmtacstk,search4stdcost,STRING * 10,ACSTK.INC
